Time,Acc,Prs
1.995,517,726
2,518,727
2.005,517,726
2.01,517,726
2.015,517,726
2.02,517,726
2.025,516,725
2.03,517,726
2.035,518,726
2.04,516,726
2.045,517,726
2.05,516,726
2.055,517,725
2.06,517,725
2.065,517,726
2.07,517,726
2.075,517,725
2.08,517,725
2.085,517,725
2.09,517,725
2.095,517,725
2.1,517,725
2.105,516,725
2.11,516,725
2.115,517,725
2.12,517,724
2.125,517,725
2.13,517,724
2.135,517,725
2.14,517,724
2.145,516,724
2.15,517,724
2.155,516,725
2.16,517,724
2.165,517,725
2.17,517,724
2.175,517,724
2.18,517,724
2.185,517,724
2.19,517,724
2.195,517,724
2.2,517,724
2.205,516,724
2.21,516,724
2.215,517,724
2.22,516,724
2.225,517,724
2.23,517,724
2.235,517,724
2.24,517,723
2.245,517,724
2.25,517,723
2.255,516,723
2.26,516,723
2.265,516,723
2.27,517,724
2.275,517,723
2.28,516,723
2.285,516,723
2.29,518,723
2.295,518,723
2.3,517,723
2.305,517,723
2.31,517,723
2.315,516,723
2.32,516,722
2.325,517,723
2.33,517,723
2.335,517,723
2.34,516,723
2.345,517,723
2.35,516,722
2.355,515,723
2.36,517,722
2.365,517,723
2.37,516,722
2.375,516,722
2.38,517,722
2.385,517,722
2.39,517,722
2.395,517,722
2.4,517,722
2.405,517,722
2.41,517,722
2.415,516,722
2.42,517,722
2.425,516,722
2.43,516,721
2.435,516,722
2.44,516,722
2.445,516,721
2.45,516,722
2.455,516,721
2.46,516,721
2.465,517,722
2.47,517,721
2.475,517,722
2.48,517,721
2.485,516,720
2.49,516,721
2.495,517,721
2.5,517,721
2.505,517,721
2.51,517,721
2.515,517,721
2.52,516,721
2.525,517,721
2.53,517,721
2.535,516,721
2.54,516,721
2.545,516,720
2.55,517,721
2.555,517,721
2.56,517,720
2.565,516,720
2.57,516,720
2.575,517,720
2.58,516,720
2.585,516,720
2.59,516,720
2.595,516,720
2.6,516,720
2.605,517,720
2.61,516,720
2.615,517,720
2.62,516,720
2.625,516,720
2.63,517,720
2.635,516,720
2.64,516,720
2.645,515,720
2.65,516,719
2.655,517,720
2.66,516,720
2.665,516,719
2.67,517,719
2.675,515,719
2.68,516,719
2.685,516,719
2.69,516,720
2.695,516,719
2.7,515,719
2.705,516,719
2.71,516,719
2.715,516,719
2.72,516,719
2.725,516,719
2.73,517,719
2.735,516,719
2.74,517,718
2.745,516,719
2.75,516,718
2.755,516,718
2.76,516,718
2.765,516,718
2.77,516,718
2.775,516,718
2.78,517,718
2.785,517,718
2.79,516,718
2.795,516,718
2.8,516,718
2.805,517,718
2.81,516,718
2.815,517,718
2.82,515,718
2.825,516,718
2.83,516,718
2.835,517,718
2.84,516,718
2.845,516,717
2.85,517,718
2.855,517,718
2.86,516,718
2.865,517,718
2.87,517,717
2.875,516,718
2.88,516,718
2.885,516,718
2.89,516,717
2.895,516,718
2.9,517,717
2.905,516,718
2.91,516,717
2.915,516,717
2.92,516,717
2.925,516,717
2.93,517,718
2.935,516,717
2.94,516,717
2.945,516,717
2.95,516,717
2.955,517,717
2.96,516,717
2.965,516,717
2.97,516,717
2.975,515,717
2.98,516,717
2.985,516,716
2.99,516,716
2.995,516,717
3,516,717
3.005,516,716
3.01,516,717
3.015,516,717
3.02,515,716
3.025,515,716
3.03,515,716
3.035,516,716
3.04,516,716
3.045,515,716
3.05,516,716
3.055,515,716
3.06,516,716
3.065,516,716
3.07,516,716
3.075,516,716
